Source,Page,Technologies,Description,
"Buenos Aires, Argentina",86,"Urban design, private-public partnerships, incentive structures","""Esta iniciativa se propone repensar a la Ciudad y su diseño para generar una mejora del ambiente urbano y su infraestructura."" Los POPS son ""un tipo específico de espacio abierto, mantenido por el privado pero de libre acceso a los vecinos de la Ciudad."" ""Uno de los principales objetivos de la iniciativa es promover la proliferación de espacios de acceso público y espacios verdes en propiedad privada.""",
"Buenos Aires, Argentina",87,"Capacitación, recursos y asesoramiento, urbanismo táctico","""El proyecto vecindario brindará 12 meses de capacitación de desarrollo de capacidades, recursos y asesoramiento a las comunidades participantes sobre cómo convertir las tierras subutilizadas en espacios verdes al incorporar capacitación en diseño y gestión de proyectos.""",
"Buenos Aires, Argentina",88,"Educational programs, awareness campaigns","""Desarrollar un programa de concientización y sensibilización sobre eficiencia energética en hogares"" to improve knowledge and practices around energy use.",
"Buenos Aires, Argentina",89,LED lamps,"""la Ciudad impulsó un programa de canje de cinco millones de lamparitas de bajo consumo o incandescentes por lámparas LED para los vecinos de la Ciudad."" This program allows for ""una reducción del 90 % del consumo de energía.""",
"Buenos Aires, Argentina",90,Estrategias de gestión energética,"""Incorporar buenas prácticas en eficiencia energética en las empresas participantes.""",
"Buenos Aires, Argentina",91,"Energy optimization, energy monitoring systems, sustainable building design","""Este programa tendrá como objetivo optimizar el consumo energético en los edificios públicos para que, a través del ejemplo, se logre visibilizar y empoderar a la ciudadanía con medidas que promuevan la eficiencia energética.""",
"Buenos Aires, Argentina",92,Mobile application,"""Se propone el desarrollo de una app que contendrá información y novedades sobre el reciclado en la Ciudad para que los vecinos puedan estar actualizados y desechar sus residuos de manera adecuada.""",
"Buenos Aires, Argentina",93,"Automated manufacturing, water recycling system, sedimentation tank","""Buenos Aires inauguró una nueva fábrica que produce todos los días, de manera automatizada, entre 800 y 1000 baldosas de 40×40 centímetros a partir de los residuos que los vecinos acercan a los Puntos Verdes y Campanas."" The process utilizes ""vidrio triturado"" to substitute ""en un 10 % el uso de arena"" and incorporates a ""pileta decantadora de sedimentos"" for water reuse in the polishing process.",
"Buenos Aires, Argentina",94,"Termovalorización, Waste to Energy (WTE) systems","""La ciudad de Buenos Aires comenzó a estudiar nuevas tecnologías para anticiparse a este desafío ... El concepto de termovalorización es entendido como una última instancia de un proceso virtuoso de economía circular, donde previamente todos los materiales posibles de ser recuperados fueron reinsertados en el circuito productivo. Con los desechos destinados a disposición final se busca transformar en energía lo que hoy constituye un desperdicio.""",
"Buenos Aires, Argentina",95,Sistema de recolección neumática,"Se colocará un ""sistema de recolección neumática de residuos"" que permitirá contar con un ""servicio más eficiente y con un menor daño ambiental.""",
"Buenos Aires, Argentina",100,Infrastructure development for educational and health services,"""La Ciudad construirá nuevos establecimientos educativos, lo que ampliará la red de centros de atención primaria en la salud."" This initiative aims to ""potenciar su desarrollo económico y social"" through improved access to essential services.",
"Buenos Aires, Argentina",101,"Infrastructure improvement, market development","""La Ciudad está trabajando para potenciar el polo comercial del Barrio 31. [...] En primer lugar, se trabajó en mejorar la infraestructura y se instalaron nuevos puestos para los feriantes de la Feria Latina.""",
"Buenos Aires, Argentina",102,Document publishing technology,"As part of the effort to ""promover alternativas a las garantías propietarias,"" the city will ""publicar contratos de locación modelo.""",
"Buenos Aires, Argentina",103,"Sistema de créditos, tecnología de financiamiento","""Se lanzó un sistema de créditos con la tasa más baja del mercado y con cuotas similares a un alquiler.""",
"Buenos Aires, Argentina",104,"Civil engineering for urban infrastructure, transport access improvements","""Reducir las barreras urbanas con la construcción de pasos bajo a nivel, aperturas de calles y pasos sobre nivel en los ferrocarriles metropolitanos.""",
"Buenos Aires, Argentina",105,"Electric buses, charging stations, transportation technology","""En el marco del Plan de Movilidad Limpia a 2035, la ciudad de Buenos Aires, en conjunto con el gobierno nacional, realizará a principios de 2019 una prueba piloto con cuatro líneas de colectivos para evaluar la viabilidad técnica de esta nueva forma de movilidad, así como su viabilidad operativa, económica y ambiental."" The initiative ""apunta tanto a la utilización del transporte eléctrico como a la creación de infraestructura adecuada para fomentar la generación de la demanda de este medio de transporte.""",
"Buenos Aires, Argentina",106,"Mobile applications, Crowdsourcing","""Entre esas nuevas formas de movilidad se destaca la de vehículos automotores compartidos, que permite el alquiler de un coche por tiempos limitados."" This mobility ""brinda la oportunidad de reducir la cantidad de vehículos privados en las ciudades, así como la necesidad de lugares de estacionamiento, al liberar espacios en la ciudad que pueden ser usados para otros fines.""",
"Buenos Aires, Argentina",107,Mobile application,"""Desarrollar una app de puntos de recompensa por kilómetros recorridos en bici para canjear por bonos culturales.""",
"Buenos Aires, Argentina",109,"vehículos eléctricos, logística de última milla","""Algunas empresas de logística están incorporando en su flota de distribución física vehículos 100 % eléctricos. Estos poseen una autonomía de 200 km reales en condiciones normales de uso y alcanza una velocidad máxima de 130 km/h. Están pensados para reducir el impacto ambiental a través de una nueva forma de distribuir bienes, sin ruido ni emisiones en regiones densamente pobladas y congestionadas de tránsito.""",
"Buenos Aires, Argentina",110,"Urban infrastructure modification, Highway construction, Green park design","""La Ciudad se ha comprometido a modificar la traza y se encuentra construyendo una nueva vía rápida que circunvalará al Barrio 31... Esta nueva traza promoverá interconectividad e integración... mejorará la circulación de los 5900 autos que todos los días ingresan a la ciudad de Buenos Aires por esa autopista."" The initiative includes transforming ""la Autopista Illia... a un Parque en Altura"" which will ""mejorar las condiciones ambientales en la ciudad de Buenos Aires y producir un incremento del 343 % en el espacio público por habitante en el Barrio 31.""",
"Buenos Aires, Argentina",112,"Sustainable design, energy efficiency standards, modern material technology","""El Nuevo Código de Edificación incorpora temáticas de diseño sustentable y promueve estándares en materia de eficiencia energética a través de la regulación en el uso de nuevas tecnologías en la calidad de los materiales y en los sistemas de instalaciones.""",
"Buenos Aires, Argentina",116,"Civil engineering technology, construction management software","""Promover la conectividad en el sur con nuevos puentes y pasos bajo nivel."" This initiative aims to build new vehicular bridges and underpasses that will help in reducing barriers between the city and the metropolitan areas.",
"Buenos Aires, Argentina",117,Environmental management technologies,"""Poner en valor la Reserva Ecológica Norte.""",
"Buenos Aires, Argentina",121,"Integrated public safety systems, data generation, citizen participation technology","""La Estrategia de resiliencia propone la innovación en el uso del espacio público y la regeneración urbana. A su vez, el desarrollo de un Sistema Integral de Seguridad Pública basado en la tecnología, la información y la participación ciudadana.""",
"Buenos Aires, Argentina",122,"Sistemas de monitoreo, tecnología de gestión de datos","""Organizar visitas guiadas al CUCC para comprender cómo la Ciudad monitorea las crecidas y los cursos de los arroyos.""",
"Buenos Aires, Argentina",124,"Taller lúdico, simulacro de autoevacuación","""La escuela se prepara es una propuesta conjunta de diversas áreas de gobierno que busca escalar el proyecto piloto que se realizó en la Escuela Primaria Común N.° 21 'Cnel. Cornelio Saavedra', donde junto con actores de la sociedad civil se llevó adelante un taller lúdico de gestión de riesgo y se realizó un simulacro de autoevacuación frente a inundaciones liderado por los propios alumnos de 10 y 11 años.""",
"Buenos Aires, Argentina",125,Datos y tecnología,"""La Estrategia de resiliencia propone crear una red de vecinos frente al cambio climático que estará compuesta por voluntarios capacitados y que recibirán un entrenamiento básico para responder frente a las emergencias que impacten en sus comunas.""",
"Buenos Aires, Argentina",126,"Educational programs, community centers","""Sensibilizar sobre el riesgo hídrico a través de centros vivenciales y educación.""",
"Buenos Aires, Argentina",127,"Big data, radar meteorológico, estaciones meteorológicas, geolocalización, sistema UMTS, IVR","""Buenos Aires ha creado un Sistema de Alerta de Tormentas (SAT) en el marco del Plan Hidráulico con el fin de anticipar en tiempo real y de forma precisa la llegada a la Ciudad de tormentas, sudestadas y diferentes fenómenos climáticos extremos."" El SAT genera ""información georreferenciada... con una precisión de 4 km y con hasta 2 horas de antelación."" Además, se incorporarán ""sistemas de alerta para informar de forma temprana a la población socialmente vulnerable y a la población en áreas de riesgo sobre eventos meteorológicos extremos.""",
"Buenos Aires, Argentina",128,"[Reconstruction management systems, recovery strategy tools]","""el Fondo para la Recuperación de la Ciudad financiará actividades de recuperación y reconstrucción posteriores al desastre.""",
"Buenos Aires, Argentina",129,Cámaras de monitoreo,"""Alcanzar las 10 000 cámaras en colectivos, subtes y la vía pública.""",
"Buenos Aires, Argentina",130,Temporary bicycle parking solutions,"""Generar estacionamientos temporales para bicicletas en eventos masivos"" promotes cycling as an alternative transport mode.",
"Buenos Aires, Argentina",131,"Data analytics, information access systems","""La producción de estadísticas fiables de criminalidad es central para la formulación de políticas de seguridad pública más eficaces... es un derecho de todos los vecinos poder acceder a la información pública.""",
"Buenos Aires, Argentina",137,"Innovation workshops, collaboration platforms","""Con el apoyo de Citymart y 100RC, se desarrolló un taller para identificar oportunidades de innovación para mejorar la gestión de residuos sólidos urbanos.""",
"Buenos Aires, Argentina",138,"Geographic Information Systems (GIS), vulnerability mapping tools","""La Ciudad generó un informe sobre la vulnerabilidad social frente a desastres y riesgos específicos en la ciudad de Buenos Aires."" It includes ""un Atlas de Vulnerabilidad Social en un repositorio web de tipo GIS que consta de 6 mapas de vulnerabilidad social frente a desastres y 2 atlas de riesgos frente a focos de calor superficial e inundaciones.""",
"Buenos Aires, Argentina",145,Hydraulic engineering,"""Desarrollo Urbano"" that includes ""obras hidráulicas.""",
"Buenos Aires, Argentina",146,Electric buses,"""Cuatro líneas de colectivo tendrán buses eléctricos a fin de año en la ciudad."" This initiative aims to improve urban mobility while reducing greenhouse gas emissions associated with traditional buses.",
"Buenos Aires, Argentina",149,Electric buses,"""Cuatro líneas de colectivo tendrán buses eléctricos a fin de año en la ciudad,"" indicating the transition to electric buses which can enhance urban mobility while potentially reducing climate vulnerability.",
"Juarez, Mexico",8,"agricultural technology, urban planning systems","The ""Urban Orchards Project"" utilizes technology to establish urban orchards, enhancing food security and promoting sustainable local agriculture in response to climate challenges.",
"Juarez, Mexico",10,None specified,"""The 100 Resilient Cities (100RC) initiative is a pro- gram that supports the adoption and incorporation of a resilience vision which includes assessing the shocks (i.e., earthquakes, fires, floods) and the stresses that weaken the fabric of a city on a day-to-day or cyclical basis.""",
"Juarez, Mexico",13,"Data collection, analytics, stakeholder engagement tools","""The CRF serves as a guide for the collection of data, perceptions, and ideas from various sectors and stakeholders, including the scientific community, the private sector, civil society, and government."" It is designed to ""create a global standard for assessing the resilience of a city"" and involves ""risk assessment as well as the integration and potential expansion of the good resilience practices that already exist in a city.""",
"Juarez, Mexico",24,"Diagnostic toolkit, AECOM software","""The analysis of inputs was conducted using a toolkit developed by AECOM, an international consulting firm that is a strategic partner of 100RC."" This toolkit aids in determining the city’s infrastructure assets and the interrelationship between acute shocks and chronic stresses and the city’s level of vulnerability.",
"Juarez, Mexico",29,Not specified in the provided content.,"""Development of resilient strategies that will enable a sustainable environmental strategy for the entire Juarez-El Paso region.""",
"Juarez, Mexico",38,Urban recovery technology,"""Pittsburgh has implemented under-utilized land recovery strategies in vulnerable areas of the city to benefit the community.""",
"Juarez, Mexico",39,"Eco-technologies, participatory design processes, green infrastructure, bike paths.","The annual contest invites experts and the public to participate in improving public spaces by incorporating resilience elements ""as well as planning and design processes."" The designs are monitored and evaluated by experts, and winning proposals are funded by the Municipal Government.",
"Juarez, Mexico",40,"Training methodologies, participatory design techniques","""Alliances and collaborations with Gehl Institute were developed to train students and professionals in this participatory approach,"" enabling a community-driven process for urban planning.",
"Juarez, Mexico",41,"Workshop implementation techniques, collaboration with organizations","""The Resilience Office and the Juarez Municipality Culture Institute created this initiative for children and teenagers at the primary school level (6 to 15 years old)."" The program includes workshops to develop artistic skills, contributing to community engagement and resilience.",
"Juarez, Mexico",42,"Spray paint, mural creation tools","""The goal is to turn walls that divide communities into symbols of connection."" A spray paint workshop was organized to add a resilience element before creating the mural, allowing community members to express their views on the city.",
"Juarez, Mexico",43,"Urban planning software, incentive mechanisms, legal support instruments","""This initiative focuses on increasing owner awareness of the empty lots they have in urban areas and encouraging them to allow temporary use of these lots as public spaces, mainly in areas where there are none. This action fosters the creation of green spaces that improve the quality of life throughout the city.""",
"Juarez, Mexico",44,"community training programs, public assemblies, citizenship training seminars","The Resilience Office will create a program to identify and train community leaders as part of the municipality’s planning processes. This program facilitates ""collaboration between government agencies and the city’s communities,"" targeting women for leadership roles in improving quality of life.",
"Juarez, Mexico",45,"Live broadcasting, Social media platforms (YouTube, Facebook)","""This initiative enables citizens to have a say in ordinary and extraordinary sessions of the City Council, in meetings prior to those sessions, and in meetings with decision makers."" The sessions are broadcasted live, promoting transparency and participation.",
"Juarez, Mexico",46,"Communication platforms for networking, data-sharing technologies","""The purpose of the network is to create a permanent communication channel among cities that have suffered from organized crime-related violence in order to mitigate the effects caused by criminals by sharing successful experiences as an aid for an effective construction of public policy on safety matters.""",
"Juarez, Mexico",47,"mobile application, SMS alerts, geo-referenced location services, Android, iOS","""This is an application for mobile telephones that enables users to keep family and friends informed in an emergency or dangerous situation. It is a part of a state-of-the-art effort by the independent Municipal Administration to use technological tools to increase public security and lower the safety risk in Juarez neighborhoods.""",
"Juarez, Mexico",50,None specified,"""Semarang develops ecological and educational tourism that makes the most of the region’s potential in order to expand the local economy.""",
"Juarez, Mexico",51,"Database, indicators system, training programs","""This action is based on the need to know where and how the city is positioned in terms of competitiveness and innovation, so that guidelines can be developed for building a sustainable economic model that can serve as an inspiration for other cities along Mexico’s northern border."" The system will be used to ""establish and quantify some key elements for achieving high productivity and increasing income levels,"" thus supporting economic growth in the city.",
"Juarez, Mexico",52,"Financial management technology, project management tools","""The Economic Development General Direction is considering the creation of a fund to support innovative projects locally that foster a diversified economy"" and will ""provide an annual allocation of resources to improve the city’s competitiveness and to finance economic development, research and development, and innovation programs and projects.""",
"Juarez, Mexico",55,"Food donation platforms, stakeholder engagement systems","""The +A-D Strategy aims to reduce waste from human consumption of organic leftovers and promotes the best use of food.""",
"Juarez, Mexico",57,"Historical assets inventory, building restoration programs, promotion strategies for historical sites","""This action will design a plan that drives the creation of cultural and tourist destinations in Juarez."" It focuses on ""recovering the city’s unique historical features and sites with the potential to attract tourists.""",
"Juarez, Mexico",58,Alternative transportation planning technologies,"""Juarez will be a leader in the planning and implementation of alternative modes of safe, efficient and affordable transportation and will reduce travel times in the city.""",
"Juarez, Mexico",59,"Urban planning technology, data analysis tools","""The Research and Planning Municipal Institute (IMIP) took the first step by preparing the Master Plan of Ciudad Juarez Historic District… proposes strategic actions per area of activity.""",
"Juarez, Mexico",60,"Urban planning guidelines, road design technology","""The Street Handbook is a guide for city planners on the design and construction of secure, high-performance streets to provide universal and inclusive access.""",
"Juarez, Mexico",65,"Urban design tools, mass transit network integration","""To improve competitiveness and quality of life for the people of Juarez, the Urban Development General Direction must modify day-to-day travel habits to encourage the use of bicycles."" The project will ""promote the construction of bicycle lanes and guarantee the safety of users at various sites throughout the city.""",
"Juarez, Mexico",66,"Bicycles, urban planning",The Recreational Bicycle Lane is an initiative of the Municipal Government proposing to close a street in the Historic District every Sunday for recreational use only.,
"Juarez, Mexico",67,"Educational materials, guidelines for road safety","""The handbook will focus on three main stakeholders: bicyclists, pedestrians and motor vehicles drivers."" The initiative seeks to improve travel conditions through ""an educational campaign on the best roads for each to use"" and will promote ""environments suitable for walking and create guidelines for secure, affordable and universal design.""",
"Juarez, Mexico",69,Green infrastructure,"""Ciudad Juarez will see a considerable reduction in the floods that disrupt traffic flow thanks to the new investments in green infrastructure, which captures rainfall water and thus reduces water consumption and fosters water sustainability.""",
"Juarez, Mexico",71,Urban agriculture technologies,"""Bangkok is working to become a model of urban agriculture and is promoting permaculture and a participatory approach.""",
"Juarez, Mexico",73,"Urban forestry management, planning tools","""Strategic tree planting programs that mitigate the heat islands.""",
"Juarez, Mexico",75,"Conference platforms, collaboration tools","""The event analyzed the regional climate, identifying challenges and strategies that could lead to health risk prevention, mitigation and resilience in the face of extreme heat in the Paso del Norte region.""",
"Juarez, Mexico",76,"Assessment methodologies by ""water experts,"" enhanced rainfall infrastructure","""The Resilience Office will create a portfolio of projects with a high rate of effectiveness and a high cost-benefit for the implementation of initiatives to resolve the flooding caused by rainfall in Ciudad Juarez."" The project aims to address issues related to ""laws and regulations for development, long-term planning, existing facilities and their capacities, [and] projects’ specifications and maintenance.""",
"Juarez, Mexico",77,"Workshop facilitation, urban agriculture techniques, low-tech greenhouses, organic waste management, biofertilizers.","""The urban agriculture project of the Centro de Asesoría y Promoción Juvenil A. C. (CASA) has been promoting environmental education since 2015 by providing workshops on design and garden maintenance, permaculture, home-made bio-filters, and the social economy."" The project contributes to the recovery of public spaces through ""the reforestation of parks and planting of empty lots.""",
"Juarez, Mexico",78,"Green infrastructure, urban runoff management, rainfall water catchment systems","The project ""demonstrating the effectiveness of green infrastructure at a local level"" seeks to ""build a binational understanding of urban runoff management, rainfall water catchment systems, and the creation of sustainable green spaces as strategies to increase the region’s resilience.""",
"Juarez, Mexico",85,"Documentation technology, safety planning tools","""Publication of Handbook"" for improving road safety practices in the context of resilience planning.",
"Juarez, Mexico",86,Not specified,"The ""Urban Orchards"" project aims to establish orchards within the urban environment, promoting ecological culture and sustainability.",
"Ciudad Juárez, México",5,"Incentivos para propietarios, planificación urbana, espacios públicos verdes","Una de las iniciativas tiene como objetivo reutizar terrenos baldíos que representan el 20% de la extensión de la ciudad y, a menudo, contribuyen a problemas de inseguridad y violencia. Mediante incentivos para sus propietarios, estos se convertirían en espacios públicos temporales, con un estímulo especial hacia espacios verdes en áreas que carecen de éstos.",
"Ciudad Juárez, México",7,Climate adaptation planning tools,"""Estrategia Municipal de Adaptación Climática"" outlines a municipal approach to adapt to the changing climate through various strategies and actions.",
"Ciudad Juárez, México",9,"Network of experts, strategic partner services, global city network","""La iniciativa 100RC es un programa que promueve la adopción e incorporación de una visión de la resiliencia que incluya los impactos (como los terremotos, incendios, inundaciones, entre otros) y las tensiones que debilitan la estructura de una ciudad diariamente o de forma progresiva."" It supports the hiring of a Chief Resilience Officer (CRO) and offers access to a global network of cities to exchange experiences and best practices.",
"Ciudad Juárez, México",12,"Risk assessment tools, stakeholder engagement platforms","""La personalización es un aspecto fundamental que depende de la evaluación de riesgos y de la integración y posible expansión de buenas prácticas de resiliencia existentes en la ciudad, así como del involucramiento de instituciones y actores comprometidos de forma activa en los esfuerzos de construcción de resiliencia.""",
"Ciudad Juárez, México",23,"Assessment tools, data analysis software","""El análisis de los insumos se realizó mediante una herramienta desarrollada por AECOM, empresa consultora internacional que es socio estratégico de 100RC.""",
"Ciudad Juárez, México",28,Resilient development strategies,"""Desarrollo de estrategias resilientes que ayudarán a propiciar un desarrollo ambiental sustentable de la región binacional de Juárez-El Paso.""",
"Ciudad Juárez, México",37,"Community engagement programs, collaborative platforms","""Con programas como We-Society, conecta a diferentes grupos con iniciativas más amplias de la ciudad, además de incrementar la resiliencia de la sociedad.""",
"Ciudad Juárez, México",38,"Design participation, ecotechnologies, cycling paths, green infrastructure.","""El concurso anual 'Embellezcamos un espacio público' es una convocatoria abierta dirigida a expertos e interesados en el tema de la arquitectura y la planeación urbana,"" promoting ""elementos de resiliencia en los procesos de planeación y diseño de la ciudad.""",
"Ciudad Juárez, México",39,"design methodologies, urban planning tools","""El taller tenía la finalidad de presentar herramientas y metodologías para el análisis e intervención de los espacios públicos."" The project involved a design competition aimed at transforming urban spaces with a community-focused approach.",
"Ciudad Juárez, México",40,"Educational workshops, collaboration with international organizations, art techniques (aerograph for mural creation).","""El desarrollo de habilidades culturales, artísticas y educativas en la niñez y juventud es una acción necesaria para el mejoramiento de las comunidades resilientes."" This program includes artistic workshops that aim to foster creativity and community engagement among children and youth.",
"Ciudad Juárez, México",41,aerosol painting technology,"""Muros sin fronteras"" is a global campaign of Masterpeace that aims to paint 100 walls in more than 40 countries, converting walls that divide communities into symbols of connection. To add the value of resilience to the activity, the Oficina de Resiliencia organized a ""Taller de pintura en aerosol"" prior to the mural development, which involved around 120 children.",
"Ciudad Juárez, México",42,None specified,"""Esta iniciativa busca sensibilizar a los propietarios de superficies baldías en zonas urbanas para que estas puedan ser usadas –de forma temporal– como espacios públicos, principalmente en zonas que carecen de ellos.""",
"Ciudad Juárez, México",43,"Community engagement platforms, training methodologies","""El objetivo de esta acción es crear un programa que identifique y capacite a líderes comunitarios para integrarlos a los procesos de planeación del municipio."" This initiative aims to facilitate government-community linkages through the identification and training of community leaders.",
"Ciudad Juárez, México",45,"Communication networks, information sharing platforms","""La Red busca crear un espacio de comunicación permanente entre ciudades que han sufrido violencia ocasionada por el crimen organizado, con el fin de mitigar los efectos producidos por ella a través de compartir experiencias exitosas que ayuden a la construcción de una política pública en materia de seguridad más efectiva.""",
"Ciudad Juárez, México",46,"Mobile application, SMS, geolocation","""An application for cell phones that has the purpose of keeping family and friends informed in case there is any danger or risk."" It allows alerts to be sent automatically when the phone is shaken, including ""a text message that can be personalized to request help as well as the geolocation of the person in danger.""",
"Ciudad Juárez, México",49,Food recovery systems,"""Es un ejemplo de economía circular, ya que a través de la iniciativa 412 Food Rescue se recolectan alimentos frescos y saludables para ser distribuidos directamente a las organizaciones comunitarias que atienden a los más necesitados.""",
"Ciudad Juárez, México",50,"Data generation, indicator design, monitoring systems.","""Esta acción surge de la necesidad de conocer dónde y cómo se encuentra posicionada la ciudad en términos de competitividad e innovación, con el fin de proponer lineamientos necesarios que ayuden a la construcción de un modelo económico sustentable."" The system will ""establish y cuantificar algunos elementos claves para lograr altos niveles de productividad e incrementar los niveles de ingreso,"" providing useful information for decision-makers to strengthen the city's economic development.",
"Ciudad Juárez, México",51,"Financial support mechanisms, innovation grant systems","""El Fondo será un programa de asignación anual de recursos para potenciar el desarrollo competitivo y económico de la ciudad. Financiará programas y proyectos de investigación, desarrollo e innovación, con énfasis en la transferencia de conocimiento al sector productivo, aumentando así las oportunidades de desarrollo y calidad de vida de los ciudadanos.""",
"Ciudad Juárez, México",54,"Data tracking, regulatory frameworks for food donation, coordination systems for food recovery","""La Estrategia +A-D, tiene como finalidad reducir el desperdicio de los residuos orgánicos de consumo humano, propiciando un aprovechamiento de los alimentos.""",
"Ciudad Juárez, México",56,No information.,"""Esta acción busca diseñar un plan que impulse la producción de escenarios culturales y turísticos que ayuden a la diversificación turística, a partir de recuperar los elementos de identidad e históricos."" The plan aims to integrate the ""elaboración de un inventario de bienes históricos y áreas con valor histórico.""",
"Ciudad Juárez, México",57,"Transportation planning technologies, mobility solutions","""Juárez será líder en la planeación e implementación de modalidades alternativas de transporte seguro, eficiente y accesible, reduciendo los tiempos de traslado en la ciudad.""",
"Ciudad Juárez, México",58,"Urban planning tools, strategic diagnostic methodologies","""El Instituto Municipal de Investigación y Planeación (IMIP) elaboró el Plan Maestro del Centro Histórico de Ciudad Juárez, en el que proponen –soportados en un diagnóstico a detalle del polígono– escenarios estratégicos por área de actuación.""",
"Ciudad Juárez, México",59,Resilience planning and networking systems,"""Está impulsando la Agenda Nacional de Resiliencia con las ciudades mexicanas de la red 100RC.""",
"Ciudad Juárez, México",62,None specified.,"""Para consolidar las acciones previstas en esta estrategia es necesario establecer la Oficina de Resiliencia en la estructura orgánica del municipio de Juárez.""",
"Ciudad Juárez, México",64,"Urban design technology, participatory design methodologies, cycling infrastructure","""El proyecto mejorará la calidad de vida reduciendo niveles de estrés y las condiciones de salud de los usuarios... Esta acción buscará promover espacios urbanos accesibles a ciclistas y peatones, conectados a la red de transporte público masivo.""",
"Ciudad Juárez, México",65,"Urban planning, recreation infrastructure","""La Ciclovía Recreativa"" is an initiative of the Gobierno Municipal that proposes to ""cerrar todos los domingos una vialidad del centro histórico para uso recreativo exclusivamente.""",
"Ciudad Juárez, México",66,"Educational manuals, road safety guidelines","""El manual se enfocará en tres actores principales: el ciclista, el peatón y el conductor de transporte motorizado.""",
"Ciudad Juárez, México",68,"Infraestructura verde, tecnología de captación de agua pluvial","""Ciudad Juárez verá una disminución considerable de las inundaciones... gracias a nueva infraestructura verde e inversiones para la captación de agua pluvial, disminuyendo así su consumo del recurso y promoviendo su sustentabilidad hídrica.""",
"Ciudad Juárez, México",70,Rainwater harvesting systems,"""Actúa frente al desafío recurrente de las inundaciones, diseñando y gestionando el manejo del recurso hídrico de una manera eficiente con el Plan de Captación de Agua Pluvial.""",
"Ciudad Juárez, México",71,None specified,"""La Estrategia Municipal de Adaptación Climática es un documento rector de acciones encaminadas a mitigar los impactos de las condiciones de vulnerabilidad en las que se encuentran los habitantes, la fauna y la flora presentes en el ecosistema semidesértico de Juárez.""",
"Ciudad Juárez, México",72,No se especifican tecnologías en el contenido,"""Programas de mitigación de islas de calor con forestación estratégica"" se sugieren como una necesidad para mejorar la resiliencia.",
"Ciudad Juárez, México",73,None identified,"""Este programa anual busca concientizar a los juarenses durante 10 días a través del desarrollo de 10 actividades relacionadas con los procesos de adaptación climática."" The program aims to promote a culture of prevention and protection against adverse climatic conditions through various activities like games, talks, and workshops.",
"Ciudad Juárez, México",74,"Material gráfico, eventos masivos, conferencias en línea","""El programa anual 10 días 10 acciones surge como una campaña educativa en la que en el año 2017 durante 10 días en el mes de mayo se llevaron a cabo 10 acciones de distinta índole para la concientización y prevención ante el calor.""",
"Ciudad Juárez, México",75,"Stormwater management infrastructure, drainage systems","""Esta iniciativa considera la realización de una cartera de proyectos que incorporen componentes como una alta efectividad y un elevado costo-beneficio para la implementación de iniciativas que resuelvan los problemas de inundación de agua pluvial en Juárez."" It aims to improve ""el drenaje de aguas pluviales existente en Ciudad Juárez [que] requiere mejoras integrales.""",
"Ciudad Juárez, México",76,"Organic seeds, worm humus fertilizer","""Fundaciones extranjeras como Misereor... donan recursos para la compra de semillas orgánicas, sustrato y fertilizante a base de humus de lombriz para comenzar con la autoproducción y autoconsumo.""",
"Ciudad Juárez, México",77,"Sistemas naturales, manejo y aprovechamiento sustentable de agua.","""La incorporación de componentes de infraestructura verde (IV) en espacios públicos ha sido exitosa en las regiones semidesérticas y desérticas... La IV se define como una estructura polifuncional que utiliza sistemas naturales para mejorar la calidad ambiental y proveer servicios sociales, económicos, culturales y ambientales.""",
"Ciudad Juárez, México",84,"Safety management systems, communication technologies","""Manual de seguridad vial"" is a safety manual that likely includes technology-driven guidelines and best practices to enhance road safety as part of the climate adaptation strategies.",
"Colima, Mexico",6,"Community engagement tools, public space design technologies","The Strategy ""aims to work with the community to build safe public spaces and promote projects to reduce inequality and violence.""",
"Colima, Mexico",7,"Strategic planning processes, participatory planning tools, collective intelligence mechanisms.","“The Resilience Strategy is an integrated, workable plan to make Colima a prosperous, sustainable, and resilient city by 2030. This planning instrument brings together a number of perspectives, visions, and solutions to combat the kinds of acute shocks and chronic stresses that the city has experienced in the past and faces in the present, and some of the future shocks and stresses it is likely to face, such as those stemming from the effects of climate change.”",
"Colima, Mexico",9,"Collaborative platforms, risk management tools","""Collaborative Risk Management Model"" intends to enhance risk management through community participation and shared responsibilities in resilience-building efforts.",
"Colima, Mexico",11,"Analytical tools, technical services","""The 100RC program was created to support the world’s cities to build the resilience needed to face the economic, social, and physical challenges of the 21st century.""",
"Colima, Mexico",12,Transportation technology,"""Transport networks"" are critical during emergencies to facilitate evacuation and resource distribution, therefore enhancing urban resilience.",
"Colima, Mexico",28,Participatory 3D mapping,"""The workshop adapted and used a methodology known as participatory 3D mapping, which enabled the participants to identify the main shocks and stresses in their neighborhoods and to quantify those factors that affect or mitigate each shock and stress.""",
"Colima, Mexico",32,Digital technologies for economic development,"""It would be great if Colima’s economy grew thanks to a boost in innovation.""",
"Colima, Mexico",33,"Perfil Metropolitano 2 (platform and assessment tool), consulting support from CAPSUS and AECOM","""With the support of the consulting firm Sustainable Capital (CAPSUS), an AECOM subcontractor, and IPCO, the Municipality of Colima conducted a study to identify strategies that could boost the building of resilience in the ZMCVA in terms of urban growth."" The study evaluated ""six urban development scenarios and more than 10 interventions or 'government policy levers' for 2030... using Perfil Metropolitano 2, a platform and assessment tool.""",
